origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,12eb72be2d95
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,2185940a8dab
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,314a230c9af2
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,6973212888cc
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,b2bb2bc86fc5
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,3f1ebc31ed3a
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,621c6c9baec7
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,44bb7fc7b8bb
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,10039339b8f9
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1917,Beatrice Wood,Beatrice and Her Twelve Children,"Watercolor, gouache, ink, and crayon on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg,Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm),1893,1998,59c43171c0d7
"Made in California, United States, North and Central America",,American,American Art,1948-50,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm),1893,1998,07fe1a221028
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,4652a325a52a
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1917,Beatrice Wood,Beatrice and Her Twelve Children,"Watercolor, gouache, ink, and crayon on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg,Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm),1893,1998,bb3e9d1ab4c7
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917,Beatrice Wood,Beatrice?.Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm),1893,1998,c2320d785d36
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,c63eca420f0e
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,17508a01705d
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917,Beatrice Wood,Beatrice?.Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm),1893,1998,17fbbf42a6d5
"Made in California, United States, North and Central America",,American,American Art,1948-50,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm),1893,1998,7946781bab85
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,7e54a1343bc7
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,e891f8cdb100
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,7dcfb769779a
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,d2bd16f2db56
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,9547f365c2d3
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,2ad7a793ec9e
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,37d4688cbdca
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1940,Beatrice Wood,Vase,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg,3 7/8 x 2 1/8 inches (9.8 x 5.4 cm),1893,1998,c0d3fab74eba
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,cafd47f06dd0
"Made in California, United States, North and Central America",,American,American Art,1948-50,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm),1893,1998,84a6b293ea98
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,d7a67df5942e
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,1e3b11466f75
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,3d0dc6be8e7d
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,f8e231ab71f4
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,6112d41076f8
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,bd4e552745ce
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,80df2a5f7b33
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,60219ceeb86b
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1917,Beatrice Wood,Beatrice and Her Twelve Children,"Watercolor, gouache, ink, and crayon on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg,Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm),1893,1998,48fbc9811d01
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917,Beatrice Wood,Beatrice?.Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm),1893,1998,d45594e5a56a
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,2cf6270dd5c4
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1998,Designed by Karim Rashid,"""Oh"" Chair Prototype","Polypropylene, powder-coated steel",http://www.philamuseum.org/images/cad/large/2000-155-1v1-pma.jpg,"34 x 24 x 24inches (86.4 x 61 x 61cm)
Height (to seat): 17 inches (43.2 cm)",1960,,b9062596d13f
"Made in Santa Fe, New Mexico, United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1995,Designed by Karim Rashid,"""Jimmy"" Sugar Bowl",Metal alloy,http://www.philamuseum.org/images/cad/large/1999-105-1-pma.jpg,Height: 4 inches (10.2 cm),1960,,81bb3af37f85
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,6d74ff18bd7d
"Made in Santa Fe, New Mexico, United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1995,Designed by Karim Rashid,"""Jimmy"" Creamer",Metal alloy,http://www.philamuseum.org/images/cad/large/1999-105-2-pma.jpg,Height: 4 inches (10.2 cm),1960,,e24ea147c4fb
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,1992,Designed by Karim Rashid,"""Gyro"" Wall Clock",Spun aluminum,http://www.philamuseum.org/images/cad/large/1999-107-1.jpg,Diameter: 11 inches (27.9 cm),1960,,b26c74d7eae8
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1995,Designed by Karim Rashid,"""Garbo"" Can",Molded high-impact virgin polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-3-neh.jpg,17 x 13 x 13 1/2 inches (43.2 x 33 x 34.3 cm),1960,,2b721b9de85f
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1996,Designed by Karim Rashid,"""Garbino"" Can",Molded polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-4-pma.jpg,13 x 10 x 10 1/2 inches (33 x 25.4 x 26.7 cm),1960,,5bc07c2e016a
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1990 (restyled 1997),Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm),1960,,27eb90098c16
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)",1904,1988,413af8371e40
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg,63 x 23 inches (160 x 58.4 cm),1904,1988,81785ecfed8f
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm),1904,1988,8abcf3673841
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,"open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)",1904,1988,e572ea75ec9a
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)",1925,,c4823e57d0c0
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,7f58a9b43694
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,d3a8db88e1ea
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)",1925,,00e16ce5f854
"Made in East Greenville, Pennsylvania, United States, North and Central America",,NewYork,European Decorative Arts and Sculpture,Designed 1999-2001; manufactured 2003,Designed by Asymptote,"""A3"" Work Station","Tubular steel, metal, plastic, laminated wood",http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg,6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm),1988,,4c3af883b685
"Made in Youngstown, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,1964,Designed by David Rowland,"""40-in-4"" Stacking Chair","Steel, plastic",http://www.philamuseum.org/images/cad/large/1972-226-1v1-pma.jpg,30 x 20 1/4 x 21 1/2 inches (76.2 x 51.4 x 54.6 cm),1924,2010,1fb83053c551
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Bluet non-lead glass (blown-molded),http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg,Height: 7 inches (17.8 cm),,,e045d8c219ef
"Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,1851-70,Possibly made by Adams and Company,Flask in the Form of a Scroll,Non-lead glass (aqua),http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg,Height: 6 1/2 inches (16.5 cm),1851,1888,3a502708f3d1
"Made in Bellaire, Ohio, United States, North and Central America",,Bellaire,American Art,1880-90,Made by Aetna Glass and Manufacturing Company,Napkin Holder with Salt and Pepper,Non-lead amber glass (pressed),http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg,5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm),,,f25cc9e16325
"Made in Pittsburgh, Pennsylvania, United States, North and Central America",,Pittsburgh,American Art,c. 1874,Made by Adams and Company,Bread Tray,Yellow glass,http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg,1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm),1851,1888,7c7262ee346c
"Made in New York City, New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1958,Designed by Erwine Laverne,"""Lotus"" Chair","Molded fiberglass, metal",http://www.philamuseum.org/images/cad/large/2007-186-34v1-cons.jpg,30 x 23 1/2 x 22 inches (76.2 x 59.7 x 55.9 cm),1909,2003,ed34a69edd14
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1957,Designed by Erwine Laverne,"""Lily Chair""","Molded Plexiglas, polyester upholstery",http://www.philamuseum.org/images/cad/large/2007-186-21v1-cons.jpg,36 1/2 x diam. 24 inches (92.7 x 61 cm),1909,2003,1ff5e9e6150d
"Made in Albany, New York, United States, North and Central America",,Albany,American Art,1847-50,Made by Albany Glass Works,Flask,Non-lead glass (olive),http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg,Height: 7 inches (17.8 cm),,,714c4ec5f297
"Made in New York, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)",1909,2003,510f4ef54825
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1998,Designed by Karim Rashid,"""Oh"" Chair Prototype","Polypropylene, powder-coated steel",http://www.philamuseum.org/images/cad/large/2000-155-1v1-pma.jpg,"34 x 24 x 24inches (86.4 x 61 x 61cm)
Height (to seat): 17 inches (43.2 cm)",1960,,39ad9c987924
"Photograph taken in Louiseville, Quebec, Canada, North and Central America",,American,"Prints, Drawings, and Photographs",1936 (negative); 1960s (print),Paul Strand,"Barns and Sheds, Louiseville, Quebec",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-79-pma.jpg,Image (sight): 7 3/4 x 9 7/16 inches (19.7 x 24 cm),1890,1976,645747a6b181
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,1992,Designed by Karim Rashid,"""Gyro"" Wall Clock",Spun aluminum,http://www.philamuseum.org/images/cad/large/1999-107-1.jpg,Diameter: 11 inches (27.9 cm),1960,,45879cbc5a7c
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1995,Designed by Karim Rashid,"""Garbo"" Can",Molded high-impact virgin polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-3-neh.jpg,17 x 13 x 13 1/2 inches (43.2 x 33 x 34.3 cm),1960,,0a6393bf6dc0
"Made in Canada, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1996,Designed by Karim Rashid,"""Garbino"" Can",Molded polypropylene,http://www.philamuseum.org/images/cad/large/1999-107-4-pma.jpg,13 x 10 x 10 1/2 inches (33 x 25.4 x 26.7 cm),1960,,4b020d759a02
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,1989-90,Designed by Robert Venturi,Pair of Andirons,Wrought iron,"http://www.philamuseum.org/images/cad/large/2001-68-1a,b.jpg",32 x 21 x 23 inches (81.3 x 53.3 x 58.4 cm),1925,,887d11516c30
"Made in United States, North and Central America",,American,American Art,Designed 1980-83; made 1985,Designed by Robert Venturi,Milk Pot from a Tea and Coffee Service,Silver with gilt decoration,http://www.philamuseum.org/images/cad/large/1986-15-3-ov.jpg,"4 3/4 x 4 13/16 x 2 3/4 inches (12 x 12.2 x 7 cm)
Weight: 10 ounces 16.5 dwt 5.5 g",1925,,ace8a7830335
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed c. 1992,Designed by Robert Venturi,Flatware,Stainless steel,http://www.philamuseum.org/images/cad/large/1993-141-1a--e-ov.jpg,"Length (Knife): 9 1/2 inches (24.1 cm)
Length (Fork): 8 inches (20.3 cm)
Length (Salad fork): 7 inches (17.8 cm)
Length (Teaspoon): 6 1/4 inches (15.9 cm)
Length (Soup spoon): 7 inches (17.8 cm)",1925,,7c32623fd0a7
"Made in New York City, New York, United States, North and Central America",,American,Costume and Textiles,Designed 1989-91,Designed by Robert Venturi,Gingham Floral Fabric,Cotton,http://www.philamuseum.org/images/cad/large/2000-84-2.jpg,54 x 144 inches (137.2 x 365.8 cm),1925,,cf1a96cb1fb7
"Made in New York City, New York, United States, North and Central America",,American,Costume and Textiles,Designed 1989-91,Designed by Robert Venturi,Raku Fabric,Cotton,http://www.philamuseum.org/images/cad/large/2000-84-1.jpg,Length: 144 inches (365.8 cm),1925,,0b3f6322825e
"Made in United States, North and Central America",,American,American Art,Designed 1980-83; made 1985,Designed by Robert Venturi,Coffeepot from a Tea and Coffee Service,Silver with gilt decoration,"http://www.philamuseum.org/images/cad/large/1986-15-1a,b-ov.jpg","8 7/8 x 7 3/4 inches (22.6 x 19.7 cm)
Weight: 28 ounces 1 dwt",1925,,63e49c191a20
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,c. 1989,Designed by Robert Venturi,Carving Set: Knife and Fork,Silver plate and stainless steel,"http://www.philamuseum.org/images/cad/large/1992-39-1a,b-ov.jpg","Knife (Length): 13 inches (33 cm)
Fork (Length): 10 inches (25.4 cm)",1925,,7a8ad1bfe716
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed c. 1993,Designed by Robert Venturi,"Buffet Plate from the ""Flowers"" Service",Porcelain with overglaze transfer-printed decoration,http://www.philamuseum.org/images/cad/large/1993-140-1-neh.jpg,1 1/8 x 12 1/4 inches (2.9 x 31.1 cm),1925,,b97db0a92754
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Sheraton"" Chair","Bent laminated wood, plastic laminate with applied pattern, upholstery",http://www.philamuseum.org/images/cad/large/1986-152-1view3.jpg,"33 1/4 x 21 3/4 x 23 1/2 inches (84.5 x 55.2 x 59.7 cm)
Height (to seat): 17 inches (43.2 cm)",1925,,0b4f9e5acfb8
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,Costume and Textiles,Designed 1981-84,Designed by Robert Venturi,"""Notebook"" Fabric",Print on cotton,http://www.philamuseum.org/images/cad/large/1987-99-1.jpg,56 inches x 9 feet (142.2 x 274.3 cm),1925,,07d4ec7de7d8
"Made in United States, North and Central America",,American,Costume and Textiles,Designed 1981-84,Designed by Robert Venturi,"""Grandmother"" Fabric",Print on cotton,http://www.philamuseum.org/images/cad/large/1987-99-2.jpg,108 x 56 inches (274.3 x 142.2 cm),1925,,fdbee7f8ad2a
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1979-1984; made 1984,Designed by Robert Venturi,"""Gothic Revival"" Chair",Bent laminated wood and painted plastic laminate,http://www.philamuseum.org/images/cad/large/1999-158-1.jpg,40 3/4 x 20 1/4 x 23 inches (103.5 x 51.4 x 58.4 cm),1925,,e05c608784c4
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed c. 1993,Designed by Robert Venturi,"""Flowers"" Cup and Saucer",Porcelain with overglaze transfer-printed decoration,"http://www.philamuseum.org/images/cad/large/1993-140-3a,bderiv.jpg","Cup: 2 1/4 ?3 1/4 ?4 1/2 inches (5.7 ?8.3 ?11.4 cm)
Saucer: 6 1/4 inches (15.9 cm)",1925,,6ad846d4a29c
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed c. 1993,Designed by Robert Venturi,"""Flowers"" Dinner Plate",Porcelain with overglaze transfer-printed decoration,http://www.philamuseum.org/images/cad/large/1993-140-2.jpg,Diameter: 12 1/4 inches (31.1 cm),1925,,fe3608228d16
"Made in New York City, New York, United States, North and Central America",,American,Costume and Textiles,Designed 1989-91,Designed by Robert Venturi,"""Dots"" Fabric",Cotton,http://www.philamuseum.org/images/cad/large/2000-84-3.jpg,54 x 144 inches (137.2 x 365.8 cm),1925,,6141938ce0c5
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)",1925,,e9c668b0530c
