artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Flight Into Egypt,Henry Ossawa Tanner,American,1859,1937,1923,Oil on canvas,29 x 26 in. (73.7 x 66 cm),Paintings,"Marguerite and Frank A. Cosgrove Jr. Fund, 2001"
George Washington before the Battle of Trenton,John Trumbull,American,1756,1843,1794,Oil on canvas,26 1/2 x 18 1/2 in. (67.3 x 47 cm),Paintings,"Bequest of Grace Wilkes, 1922"
Table and Two Chairs,Horace Pippin,American,1888,1946,1946,Oil on canvas,"H. 9, W. 11 inches (22.9 x 27.9 cm.)",Paintings,"Bequest of Jane Kendall Gingrich, 1982"
Baby with Rattle and Dog,Attributed to Mrs. Moses B. Russell,,1809,1854,1842,Watercolor and gouache on ivory,4 1/2 x 3 1/2 in. (11.4 x 8.9 cm),Paintings,"Purchase, The Overbrook Foundation, Robert and Bobbie Falk Philanthropic Fund, and Lois and Arthur Stainman Philanthropic Fund Gifts, 1999"
Portrait of a Lady,Henry Inman,American,1801,1846,1827?,Watercolor on ivory,3 x 2 in. (7.6 x 5.1 cm),Paintings,"Purchase, William Cullen Bryant Fellows Gifts, 2003"
Mrs. William Wortley Worsley (Rebecca Smith),Thomas Sully,American,1783,1872,1805,Watercolor on ivory,2 13/32 x 1 5/16 in. (6.1 x 3.3 cm),Paintings,"Rogers Fund, 1944"
Model Undressing,John Koch,American,1909,1978,1962,Oil on canvas,"H. 18, W. 24 inches (45.7 x 61 cm.)",Paintings,"Gift of Sylvia Orkin, in memory of Lazarus A. Orkin, M.D., 1991"
American Landscape: Trunk Series,William Dunlap,American,1944,,1981,"Graphite, oil and graphite on paper","H. 40, W. 30 inches (101.6 x 76.2 cm.)",Drawings,"Gift of the artist, 1990"
Williamsburg,Ralph Mayer,American,1895,1979,1939?,Oil on canvas,"H. 26-1/2, W. 40 inches (67.3 x 101.6 cm.)",Paintings,"Purchase, Clarence Y. Palitz Jr. Gift, in memory of Clarence Y. Palitz Sr., 1983"
"Evening at the Lock, Napanoch, New York",Theodore Robinson,,1852,1896,1893,oil on canvas,22 x 32 in. (55.9 x 81.3 cm),Paintings,"Gift of The Manoogian Foundation, 2011"
Peaceable Kingdom,Edward Hicks,,1780,1849,1832,Oil on canvas,17 7/8 x 23 7/8 in. (45.4 x 60.6 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1970"
Brazilian Landscape,Clifford Ross,American,1952,,1980,Acrylic and charcoal on canvas,69 x 48in. (175.3 x 121.9cm),Paintings,"Gift of Gill and Tommy LiPuma, 1984"
Design for Te Deum window,Louis Comfort Tiffany,American,1848,1933,1914,"Watercolor, gouache, graphite, and silver gelatin photograph on artist board in original warm grey window matt with shaped tracery",Overall: 18 7/8 x 15 11/16 in. (48 x 39.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Melusine del Gufo,James McGarrell,American,1930,,1990,Oil on canvas,"2 panels each H. 80, W. 62 in. (203.2 x 157.5 cm)",Paintings,"Gift of Stephen L. Lindsey, 1999"
The Church at Gloucester,Childe Hassam,American,1859,1935,1918,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Arthur Hoppock Hearn Fund, 1925"
"Sailing at Moonlight, Samoa",Louis Michel Eilshemius,American,1864,1941,,Oil on wood,12 3/4 x 15 3/4 in. (32.4 x 40 cm),Paintings,Bequest of Charles Ikl ? 1963
Under a Cloud,Albert Pinkham Ryder,American,1847,1917,1900?,Oil on canvas,20 x 24 in. (50.8 x 61 cm),Paintings,"Gift of Alice E. Van Orden, in memory of her husband, Dr. T. Durland Van Orden, 1988"
"The Fountain, No. 1: The Wounded Indian Slaking His Death Thirst",Thomas Cole,American,1801,1848,1843,Graphite and white gouache on green wove paper,7 x 9 3/4 in. (17.8 x 24.8 cm),Drawings,"Gift of Erving Wolf Foundation, in memory of Diane R. Wolf, 1977"
Portrait of a Lady,John Wood Dodge,,1807,1893,1835?,Watercolor on ivory,2 13/16 x 2 1/4 in. (7.2 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006"
Untitled,Theodoros Stamos,American,1922,1997,1947,"Watercolor, ink, pastel, and gouache on paper","H. 20, W. 26 inches (50.8 x 66 cm.)",Drawings,"Anonymous Gift, in memory of Mr. and Mrs. Theodoros Stamatelos, 1991"
Northeaster,Winslow Homer,American,1836,1910,1895;reworkedby1901,Oil on canvas,34 1/2 x 50 in. (87.6 x 127 cm),Paintings,"Gift of George A. Hearn, 1910"
Homage to the Square: Frontal-Forward,Josef Albers,,1888,1976,1970,Oil on Masonite,"H. 40, W. 40 inches (101.6 x 101.6 cm.)",Paintings,"Gift of Douglas Dillon, 1991"
Sweet Back Man,Benny Andrews,American,1930,2006,1996,"Cut and pasted fabrics and paper, and oil paint on paper","H. 22-3/4, W. 15 inches (57.8 x 38.1 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1997"
Mrs. John Hill Wheeler and Her Two Sons,Thomas Sully,American,1783,1872,1844,Oil on canvas,51 3/4 x 61 3/4 in. (131.4 x 156.8 cm),Paintings,"Gift of Captain John R. Brasel, USNR, 1967"
Bathers,Alfred Levitt,American,1894,2000,1939,Gouache and watercolor on paper,"H. 2, W. 3 inches (5.1 x 7.6 cm.)",Drawings,"Gift of the artist, 1985"
"Jefferson Market, New York",Stuart Davis,American,1892,1964,1930,Oil on canvas,"H. 33-1/8, W. 22-1/8 inches (84.1 x 56.2 cm.)",Paintings,"Gift of Carl D. Lobell, 1996"
Psyche,William Sergeant Kendall,American,1869,1938,1909,Oil on canvas,37 1/4 x 29 in. (94.6 x 73.6 cm),Paintings,"George A. Hearn Fund, 1910"
The Writing Master,Thomas Eakins,American,1844,1916,1882,Oil on canvas,30 x 34 1/4 in. (76.2 x 87 cm),Paintings,"John Stewart Kennedy Fund, 1917"
Portrait of a Gentleman,Nathaniel Rogers,American,1788,1844,1835?,Watercolor on ivory in gilded copper case; hair reserve verso,2 11/16 x 2 1/8 in. (6.8 x 5.5 cm),Paintings,"Fletcher Fund, 2006"
"Design for window, Mr. J.C. Williams, All Saints Chapel, Atlanta, GA,",Louis Comfort Tiffany,American,1848,1933,1915,"Watercolor, ink, graphite, and white gouache",21 1/4 x 14 3/4 in. (54 x 37.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Mourning Picture,Date: ca. 1810 Geography: New England Walpole New Hampshire United States Culture: American Medium: Painted watercolor and gouache on silk Dimensions: 19 x 24 1/4 in.,,1810,1983,,,,,
The Antiquarian,John Koch,American,1909,1978,1954,Oil on Masonite,"H. 16-9/16, W. 12-1/16 inches (42.1 x 30.7 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1954"
The Seven Deadly Sins: Envy,Paul Cadmus,American,1904,1999,1947,Egg tempera on Masonite,"H. 24, W. 11-3/4 inches (61 x 29.8 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993"
And You Got His Grace Right?,Gary Jacobson,American,1951,,1983,"Painted clay, wire, and string on wood","H. 14-3/4, W. 23-3/4, D. 5 inches (37.5 x 60.3 x 12.7 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1984"
Acoustics of Violins,Marvin Mattelson,,,,1981,Acrylic on canvas,Painting: 27.9 x 27.9cm (11 x 11in.); framed: 45.7 x 44.5cm (18 x 17 1/2 in.),Paintings,"Purchase, Carleen M. Hutchins Gift, in memory of Morton Aldrich Hutchins, 2006"
"The Recording of Precedents: Confucius and His Pupils Collate and Transcribe Documents in Their Favorite Grove; Color Study for Mural, Supreme Court Room, Minnesota State Capitol, Saint Paul",John La Farge,American,1835,1910,1903,"Gouache, watercolor, gum arabic, and graphite on tan wove paper",7 x 10 5/8 in. (17.8 x 27 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966"
Battle,Mark Tobey,American,1890,1976,1942,Tempera on Masonite,"H. 10-1/2, W. 8-5/8 inches (26.8 x 21.9 cm.)",Paintings,"Anonymous Gift, in memory of Robert Glenn Price, 1954"
Selini,Paul Manes,American,1948,,1987,Oil on canvas,"H. 48, W. 52 inches (121.9 x 132.1 cm.)",Paintings,"Purchase, PaineWebber Group, Inc. Gift, 1988"
Gilding the Acrobats,Paul Cadmus,American,1904,1999,1935,Tempera and oil on Masonite,"H. 36-3/4, W. 18-1/2 inches (93.3 x 47 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
Figures in the Forest,Jerome Blum,American,1884,1956,1908,Oil on canvas,"H. 18-1/8, W. 14-7/8 inches (46.0 x 37.8 cm.)",Paintings,"Gift of Mrs. Frances Blum, 1966"
Denise at Her Dressing Table,Mary Cassatt,American,1844,1926,199,Oil on canvas,32 7/8 x 27 1/8 in. (83.5 x 68.9 cm),Paintings,"Bequest of Gioconda King, 2004"
The Celadon Vase,Max Weber,,1881,1961,1933?,Oil on canvas,30 x 36in. (76.2 x 91.4cm) 36 1/2 x 42 1/2 x 1 5/8 in. (92.7 x 108 x 4.1 cm) (Frame),Paintings,"George A. Hearn Fund, 1934"
"Study Number 5 for ""Recollection of the Flood""",Peter Blume,,1906,1992,1968,Enamel on Masonite,"H. 16-1/8, W. 20-5/8 inches (sight) (41 x 52.4 cm.)",Paintings,"George A. Hearn Fund, 1996"
Docks on Sunday,Joseph De Martini,American,1896,1984,1941?,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of New York City W. P. A., 1943"
Design for marble and glass mosaic font,Louis Comfort Tiffany,American,1848,1933,1915,"Watercolor, gouache, and graphite on off-white wove paper iginal matt",15 3/8 x 11 3/4 in. (39 x 29.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
London Music Hall,Everett Shinn,American,1876,1953,1918,Oil on canvas,10 x 12 in. (25.4 x 30.5 cm),Paintings,"George A. Hearn Fund, 1921"
Still Life with Decoy,James Valerio,American,1938,,1983,Oil on canvas,"H. 84, W. 100 inches (213.4 x 254 cm.)",Paintings,"Purchase, Lila Acheson Wallace Gift, 1985"
Vision from Oklahoma,John Tweddle,American,1938,,1981,Oil on canvas,"H. 66-1/4, W. 96-3/4 inches (168.3 x 245.7 cm.)",Paintings,"Edith C. Blum Fund, 1983"
Colonel Richard Thomas,James Peale,American,1749,1831,1796,Watercolor on ivory in gold locket,Sight: 2 7/8 x 2 5/16 in. (7.3 x 5.9 cm),Paintings,"Maria DeWitt Jesup Fund, 1931"
Untitled No. 3,Paul Sarkisian,American,1928,,1980,"Acrylic, airbrush, and stencil on canvas","H. 79, W. 119 inches (200.7 x 302.3 cm.)",Paintings,"Gift of Frederick Weisman Foundation, 1983"
George Heathcote,Gilbert Stuart,American,1755,1828,1785?,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Heathcote Art Foundation, 1986"
Pungent Distances,Morris Louis,American,1912,1962,1961,Magna on canvas,91 1/4 x 59 1/4 in. (231.8 x 150.5 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Mrs. William Thomas,John Wesley Jarvis,,1780,1840,1813?,Oil on canvas,34 1/8 x 27 1/8 in. (86.5 x 68.7 cm),Paintings,"Bequest of Kate d'A. Bonner, 1962"
The Street,Philip Guston,American,1913,1980,1977,Oil on canvas,69 x 110 3/4 in. (175.3 x 281.3 cm),Paintings,"Purchase, Lila Acheson Wallace and Mr. and Mrs. Andrew Saul Gifts, Gift of George A. Hearn, by exchange, and Arthur Hoppock Hearn Fund, 1983"
Mountain Scene,Albert Bierstadt,American,1830,1902,1890,Oil on paper,14 3/4 x 21 in. (37.5 x 53.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979"
Two Arab Women,John Singer Sargent,American,1856,1925,1905?,Oil on canvas,21 x 25 1/4 in. (53.3 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
Sun Shower,Charles Melville Dewey,American,1849,1937,by1912,Oil on canvas,36 3/4 x 52 3/8 in. (93.3 x 133 cm),Paintings,"Arthur Hoppock Hearn Fund, 1920"
Design for trapezoidal panel,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache and graphite on paper mounted on board",Overall: 16 15/16 x 13 9/16 in. (43 x 34.4 cm) Other (Design): 14 7/16 x 12 5/16 in. (36.7 x 31.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Waiter II,Matthew Weinstein,American,1964,,1998,Photo screenprint on polyester with brush applied acrylic fabric dye,"H. 48, W. 48 in. (121.9 x 121.9 cm)",Paintings,"Purchase, Charles Cowles Gift, 1999"
Pictograph,Adolph Gottlieb,American,1903,1974,1948,"Gouache, oil pastel, ink, and graphite on paper","H. 18, W. 24 inches (45.7 x 61 cm.)",Drawings,"Purchase, Mr. and Mrs. Arthur Wiesenberger Fund, by exchange, 1994"
Mrs. William F. Milton,Abbott H. Thayer,American,1849,1921,1881,Oil on canvas,32 x 24 in. (81.3 x 61 cm),Paintings,"Gift of Mrs. William F. Milton, 1923"
Untitled (CXXXII),Robert Courtright,American,1926,,1978,Cut and pasted papers mounted on wood,Dia: 60-1/4 inches (153.4 cm.),Paintings,"Gift of Baron H. H. Thyssen-Bornemisza, 1980"
Landscape with Figures,Kenneth Hayes Miller,American,1876,1952,1914,Oil on canvas,"H. 20, W. 17 inches (50.8 x 43.2 cm.)",Paintings,"Gift of students and admirers of the artist, 1927"
Thomas Storm,Ammi Phillips,,1788,1865,1830?,Oil on canvas,32 x 26 in. (81.3 x 66 cm),Paintings,"Bequest of Edgar William and Bernice Chrysler Garbisch, 1979"
Untitled (Head),Nicolas Carone,American,1917,2010,1951?,"Enamel on paper, mounted on linen",21 1/4 x 18 1/4 in. (54 x 46.4 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
John Brown,John Steuart Curry,American,1897,1946,1939,Oil on canvas,"H. 69, W. 45 inches (175.3 x 114.3 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
Untitled,Franz Kline,American,1910,1962,1956?,"Oil, ink, cut, torn and pasted paper on paper","H. 10-1/4, W. 10-1/4 inches (26 x 26 cm.)",Drawings,"Gift of Ren鑼卐 and David McKee, 1984"
White Flag,Jasper Johns,American,1930,,1955,"Encaustic, oil, newsprint, and charcoal on canvas",78 5/16 x 120 3/4in. (198.9 x 306.7cm),Paintings,"Purchase, Lila Acheson Wallace, Reba and Dave Williams, Stephen and Nan Swid, Roy R. and Marie S. Neuberger Foundation Inc., Louis and Bessie Adler Foundation Inc., Paula Cussi, Maria-Gaetana Matisse, The Barnett Newman Foundation, Jane and Robert Carroll, Eliot and Wilson Nolen, Mr. and Mrs. Derald H. Ruttenberg, Ruth and Seymour Klein Foundation Inc., Andrew N. Schiff, The Cowles Charitable Trust, The Merrill G. and Emita E. Hastings Foundation, John J. Roche, Molly and Walter Bareiss, Linda and Morton Janklow, Aaron I. Fleischman, and Linford L. Lougheed Gifts, and gifts from friends of the Museum; Kathryn E. Hurd, Denise and Andrew Saul, George A. Hearn, Arthur Hoppock Hearn, Joseph H. Hazen Foundation Purchase, and Cynthia Hazen Polsky and Leon B. Polsky Funds; Mayer Fund; Florene M. Schoenborn Bequest; Gifts of Professor and Mrs. Zevi Scharfstein and Himan Brown, and other gifts, bequests, and funds from various donors, by exchange, 1998"
Adult Funeral Procession,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 x 9 1/4 in. (15.2 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Mary Ann Garrits,Frederick R. Spencer,American,1806,1875,1834,Oil on canvas,33 x 26 in. (83.8 x 66 cm),Paintings,"Gift of Mrs. Emma W. Englander, 1928"
"Flowers, Fish, and Females",James Rosenquist,American,1933,,1984,Oil on canvas,"H. 90-1/2, W. 287 inches (229.9 x 729.0 cm.)",Paintings,"Gift of Tom Margittai and Paul Kovi, 1995"
Cartoon,Sylvia Carewe,American,1914,1981,1960,Oil on canvas,"H. 63, W. 87 inches (160 x 221 cm.)",Paintings,"Gift of the designer, 1981"
Across the Campagna,George Inness,American,1825,1894,1872,"Watercolor, gouache, and graphite on off-white wove paper",6 13/16 x 10 5/16 in. (17.3 x 26.2 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966"
Little Girl with Flowers (Amelia Palmer),Charles Cromwell Ingham,,1786,1863,1830?,Oil on canvas,67 7/8 x 53 1/4 in. (172.4 x 135.3 cm),Paintings,"Gift of Courtlandt Palmer, 1950"
Portiere,Louis Comfort Tiffany,American,1848,1933,1902,"Watercolor, gouache, and graphite on off-white wove paper mounted to a paper-faced board",Overall: 21 1/4 x 13 3/8 in. (54 x 34 cm) Design: 11 7/16 x 5 3/8 in. (29 x 13.7 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittesley Fund,1953"
"Coast Scene, Isles of Shoals",Childe Hassam,American,1859,1935,1901,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),Paintings,"Gift of George A. Hearn, 1909"
Houses on a Barge,Helen Torr,American,1886,1967,1929,Oil on canvas,"H. 16, W. 21 inches (40.6 x 33.3 cm.)",Paintings,"Gift of Cynthia Hazen Polsky, 1988"
"Kenneth Callahan painting on cardboard, 1947",Kenneth Callahan,American,1905,1986,20thcentury,Painting,13 1/2 x 12 1/2 in. (34.3 x 31.8 cm),Paintings,"Bequest of Phyllis Massar, 2011"
"Roses with a Glass Goblet and a Cast of Giovanni Bologna's ""Venus after the Bath""",Julian Alden Weir,American,1852,1919,1884,"Pencil, watercolor, and gouache on paper",17 7/16 x 12 1/8 in. (44.3 x 30.8 cm),Drawings,"Jointly owned by The Metropolitan Museum of Art and Erving and Joyce Wolf, 1978"
"Sand Bank with Willows, Magnolia",William Morris Hunt,American,1824,1879,1877,Oil on canvas,24 x 42 in. (61 x 106.7 cm),Paintings,"Gift of Francis M. Weld, 1938"
Verifying Dissonant Statistics,Randy Dudley,American,1950,,1981,Oil on canvas,"H. 21-5/8, W. 27-5/8 inches (54.9 x 70.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1983"
From Jerusalem,John Singer Sargent,American,1856,1925,196,"Watercolor, gouache, and graphite on off-white wove paper",12 x 17 7/8 in. (30.5 x 45.4 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
"The Grandmother Tree, near Middletown, Long Island",William Rickarby Miller,,1818,1893,1858,"Watercolor, gouache, and graphite on off-white wove paper",15 7/8 x 12 15/16 in. (40.3 x 32.9 cm),Drawings,"Gift of Mrs. A. M. Miller, 1893"
"Western Civilization, Drawing #3",Viola Frey,American,1933,2004,1987,Charcoal and oil pastel on paper,"Overall: H. 45, W. 60 inches (114.3 x 152.4 cm.) 2 sheets, each:H. 44, W. 30 inches (111.8 x 76.2 cm.)",Drawings,"Gift of Hoffman Greenwald Family: Nancy Hoffman, Rebecca Hoffman Greenwald and Peter N. Greenwald, 1993"
"Panorama of Roman Campagna, Nov. 12, 1868 (from Sketchbook)",Jervis McEntee,American,1828,1891,1868,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Dr. Scholl's Corns,Andy Warhol,American,1928,1987,1961,Casein and wax crayon on canvas,48 x 40 in. (121.9 x 101.6 cm),Paintings,"Gift of Halston, 1982"
Joseph Donaldson,Charles Willson Peale,American,1741,1827,1776,Watercolor on ivory in gold locket,1 3/8 x 1 1/8 in. (3.4 x 2.8 cm),Paintings,"Gift of Gloria Manney, 2006"
Adagio,Jack Tworkov,,1900,1982,1953,Oil on canvas,"H. 80, W. 28 inches (198 x 71.1 cm.)",Paintings,"Anonymous Gift, 1955"
The Last Moments of John Brown,Thomas Hovenden,,1840,1895,1884,Oil on canvas,77 3/8 x 66 1/4 in. (196.5 x 168.3 cm),Paintings,"Gift of Mr. and Mrs. Carl Stoeckel, 1897"
Untitled,Tony Smith,American,1912,1980,1948?,Gouache on graph paper,"H. 9-5/8, W. 7-5/8 inches (24.4 x 19.4 cm.)",Drawings,"Purchase, The Barnett Newman Foundation Gift, 1996"
Menorah,Mark Podwal,American,1945,,1995,Gouache and colored pencil on paper,"H. 14, W. 11-1/8 inches (35.6 x 28.3 cm.)",Drawings,"Purchase, Gift of 134 Artists, by exchange, 1996"
John and Louisa Stock,Joseph Whiting Stock,,1815,1855,1845,Oil on canvas,50 1/4 x 40 in. (127.6 x 101.6 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1966"
The Harp Player (A Solo),Kenyon Cox,American,1856,1919,1888,Oil on canvas,30 x 17 7/8 in. (76.2 x 45.4 cm),Paintings,"Rogers Fund, 1912"
Portrait of the Marquis de Lafayette,William P. Babcock,,1826,1899,1880,Oil on wood,5 x 5 3/4 in. (12.7 x 14.6 cm),Paintings,"Gift of William H. Huntington, 1883"
Fay's Kitchen,Chuck Forsman,American,1944,,1971,Oil on Masonite,"H. 29, W. 33 inches (73.7 x 83.8 cm)",Paintings,"Gift of Adam Baumgold, 1983"
Asmat Artisan,Lunda Hoyle Gill,,,,mid-20thcentury,"Canvas, paint",H x W: 10 x 12in. (25.4 x 30.5cm),Paper-Paintings,"Gift of Lunda Hoyle Gill in honor of Mr. and Mrs. William M. Beard, 1982"
Open Number 35 (Raw Umber),Robert Motherwell,American,1915,1991,1968,Polymer paint and charcoal on canvas,"H. 76, W. 144 inches (193 x 365.8 cm.)",Paintings,"Anonymous Gift, 1969"
Dress Parade (from Sketchbook),James McNeill Whistler,American,1834,1903,1852?,"Brown ink, gouache and graphite on greenish-brown wove paper",5 x 3 1/4 in. (12.7 x 8.3 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970"
Artist at Rest,Sally M. Avery,American,1905,2003,1963,Oil on canvas board,"H. 22, W. 28 inches (55.9 x 71.1 cm.)",Paintings,"Gift of the artist, 1990"
Francis Brinley,John Smibert,,1688,1751,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),Paintings,"Rogers Fund, 1962"
Untitled (Head),Jim Dine,American,1935,,1959,Oil on plaster over wire armature of electric fan,Diam.: 14 in. (35.6 cm) H: 10 in. (25.4 cm),Sculpture,"Gift of Stanley Posthorn, 2007"
Flag of Hudson Avenue No.2,Alan Shields,American,1944,2005,1976,Acrylic and thread on canvas,"H. 88, W. 90 inches (223.5 x 228.6 cm.)",Paintings,"Gift of Joel and Anne Ehrenkranz, 1984"
Still Life with Walnuts,George Grosz,,1893,1959,1937,Oil on canvas board,"H. 24, W. 19-7/8 inches (61 x 50.5 cm.)",Paintings,"George A. Hearn Fund, 1939"
"Chelsea Embankment, London",Hanns Skolle,American,1903,1988,1932,Oil on canvas,37.8 x 48.3 cm (14 7/8 x 19 in. ),Paintings,"Walker Evans Archive, 1994"
Allan Melville,John Rubens Smith,American,1775,1849,1810,"Watercolor, gouache, and graphite on smooth surfaced off-white wove paper",8 7/8 x 6 3/4 in. (22.5 x 17.1 cm),Drawings,"Bequest of Charlotte E. Hoadley, 1946"
August,Charles Harold Davis,American,1856,1933,1908?,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Gift of George A. Hearn, 1909"
Lady with the Rose (Charlotte Louise Burckhardt),John Singer Sargent,American,1856,1925,1882,Oil on canvas,84 x 44 3/4 in. (213.4 x 113.7 cm),Paintings,"Bequest of Valerie B. Hadden, 1932"
The Mirror (Circus Dressing Room),Pavel Tchelitchew,,1898,1957,1932,Oil on canvas,"H. 39-3/4, W. 32 inches (101 x 81.3 cm.)",Paintings,"Bequest of Mary Cushing Fosburgh, 1978"
The Grand Canyon: Head of the Old Hance Trail,Thomas Moran,,1837,1926,1892?,"Watercolor, pen and black ink, gouache, and graphite underdrawing on light gray wove paper",14 9/16 x 10 1/8 in. (37 x 25.7 cm),Drawings,"Purchase, Morris K. Jesup Fund and several members of The Chairman's Council Gifts, 2003"
Charles Wilkes,Gilbert Stuart,American,1755,1828,1794?,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Grace Wilkes, 1922"
Study in a Wood,Daniel Huntington,American,1816,1906,1861,Oil on canvas,11 7/8 x 10 in. (30.2 x 25.4 cm),Paintings,"Bequest of Collis P. Huntington, 1900"
Thomas Macdonough,Joseph Wood,,1778,1830,1818?,Oil on wood,9 7/8 x 6 3/4 in. (25.1 x 17.2 cm),Paintings,"Gift of Mrs. W. Murray Crane, 1949"
Francis Lucas Waddell,John Vanderlyn,American,1775,1852,1837?,Oil on canvas,25 1/4 x 21 in. (64.1 x 53.3 cm),Paintings,"Gift of Mrs. M. Howard Hoopes and Miss Grace H. Patterson, in memory of Miss Ann S. Stephens, 1919"
Lilacs in a Window (Vase de Lilas a la Fenetre),Mary Cassatt,American,1844,1926,1883,Oil on canvas,24 3/16 x 20 1/8 in. (61.5 x 51.1 cm),Paintings,"Partial and Promised Gift of Mr. and Mrs. Douglas Dillon, 1997"
Mrs. Charles Cummings (Rebecca Pittard),Henry Inman,American,1801,1846,1825?,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Maria DeWitt Jesup Fund, 2008"
House of Fire,James Rosenquist,American,1933,,1981,Oil on canvas,78 x 198in. (198.1 x 502.9cm),Paintings,"Purchase, Arthur Hoppock Hearn Fund, George A. Hearn Fund and Lila Acheson Wallace Gift, 1982"
Lincolnville Beach,Rackstraw Downes,,1939,,1977,Oil on canvas,"H. 12-1/4, W. 44-1/2 inches",Paintings,"Bequest of Douglas Dillon, 2003"
Baked Pears in Duane Park,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
John Ludlow Morton,Nathaniel Rogers,American,1788,1844,1829?,Watercolor on ivory,2 15/16 x 2 3/16 in. (7.5 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006"
"Folly Beach, Charleston, South Carolina",Edward Hopper,American,1882,1967,1929,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-3/4 inches (35.2 x 50.2 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973"
String Quartette,Jack Levine,American,1915,2010,1937,Tempera and oil on Masonite,"H. 47-1/2, W. 67-1/2 inches (120.7 x 171.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942"
Mrs. Samuel L. Waldo,Samuel Lovett Waldo,,1783,1861,1826?,Oil on wood,30 1/4 x 25 5/8 in. (76.8 x 65.1 cm),Paintings,"Amelia B. Lazarus Fund, 1922"
Rosewood,Larry Poons,American,1937,,1966,Oil on canvas,"H. 120, W. 160 inches (304.8 x 406.4 cm.)",Paintings,"Gift of Frederick Weisman Company, 1982"
James MacAlister (Sketch),Thomas Eakins,American,1844,1916,1895?,Oil on canvas,14 1/4 x 10 1/4 in. (36.8 x 26 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Marriage Stone,Theodoros Stamos,American,1922,1997,1948,Oil on Masonite,"H. 13-1/8, W. 32 inches (33.3 x 81.3 cm.)",Paintings,"Gift of Arthur and Carol Goldberg, 1977"
Relief,Bruce Boice,American,1941,,1977,Oil on canvas,"H. 63, W. 54-1/4 inches (160 x 137.8 cm.)",Paintings,"George A. Hearn Fund and Arthur Hoppock Hearn Fund, 1978"
