artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Madame Jerome Bonaparte (Elizabeth Patterson),Attributed to Thomas Sully,American,1783,1872,1805,1810,Watercolor on ivory,3 13/16 x 3 1/2 in. (9.7 x 8.9 cm),Paintings,"Purchase, Dodge Fund and funds from various donors, 2000",cdda1ae7c057
Flight Into Egypt,Henry Ossawa Tanner,American,1859,1937,1923,1923,Oil on canvas,29 x 26 in. (73.7 x 66 cm),Paintings,"Marguerite and Frank A. Cosgrove Jr. Fund, 2001",34b0e2f605d2
George Washington before the Battle of Trenton,John Trumbull,American,1756,1843,1792,1794,Oil on canvas,26 1/2 x 18 1/2 in. (67.3 x 47 cm),Paintings,"Bequest of Grace Wilkes, 1922",0931848976a4
Table and Two Chairs,Horace Pippin,American,1888,1946,1946,1946,Oil on canvas,"H. 9, W. 11 inches (22.9 x 27.9 cm.)",Paintings,"Bequest of Jane Kendall Gingrich, 1982",3ab5703a070b
Portrait of a Lady,Henry Inman,American,1801,1846,1827,1827,Watercolor on ivory,3 x 2 in. (7.6 x 5.1 cm),Paintings,"Purchase, William Cullen Bryant Fellows Gifts, 2003",5bd00cda8262
Mrs. William Wortley Worsley (Rebecca Smith),Thomas Sully,American,1783,1872,1805,1805,Watercolor on ivory,2 13/32 x 1 5/16 in. (6.1 x 3.3 cm),Paintings,"Rogers Fund, 1944",373f0787d6c5
Model Undressing,John Koch,American,1909,1978,1962,1962,Oil on canvas,"H. 18, W. 24 inches (45.7 x 61 cm.)",Paintings,"Gift of Sylvia Orkin, in memory of Lazarus A. Orkin, M.D., 1991",bd84295adf99
Williamsburg,Ralph Mayer,American,1895,1979,1939,1939,Oil on canvas,"H. 26-1/2, W. 40 inches (67.3 x 101.6 cm.)",Paintings,"Purchase, Clarence Y. Palitz Jr. Gift, in memory of Clarence Y. Palitz Sr., 1983",d5b84ac2a7fa
Design for Te Deum window,Louis Comfort Tiffany,American,1848,1933,1914,1914,"Watercolor, gouache, graphite, and silver gelatin photograph on artist board in original warm grey window matt with shaped tracery",Overall: 18 7/8 x 15 11/16 in. (48 x 39.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",eae4d3142759
The Church at Gloucester,Childe Hassam,American,1859,1935,1918,1918,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Arthur Hoppock Hearn Fund, 1925",a2ead3f13f07
Under a Cloud,Albert Pinkham Ryder,American,1847,1917,1900,1900,Oil on canvas,20 x 24 in. (50.8 x 61 cm),Paintings,"Gift of Alice E. Van Orden, in memory of her husband, Dr. T. Durland Van Orden, 1988",1493d4ee27a7
"The Fountain, No. 1: The Wounded Indian Slaking His Death Thirst",Thomas Cole,American,1801,1848,1843,1843,Graphite and white gouache on green wove paper,7 x 9 3/4 in. (17.8 x 24.8 cm),Drawings,"Gift of Erving Wolf Foundation, in memory of Diane R. Wolf, 1977",3eb8bd5229a7
Northeaster,Winslow Homer,American,1836,1910,1901,1901,Oil on canvas,34 1/2 x 50 in. (87.6 x 127 cm),Paintings,"Gift of George A. Hearn, 1910",4c216f25747e
Sweet Back Man,Benny Andrews,American,1930,2006,1996,1996,"Cut and pasted fabrics and paper, and oil paint on paper","H. 22-3/4, W. 15 inches (57.8 x 38.1 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1997",799e8fe37bc5
Mrs. John Hill Wheeler and Her Two Sons,Thomas Sully,American,1783,1872,1844,1844,Oil on canvas,51 3/4 x 61 3/4 in. (131.4 x 156.8 cm),Paintings,"Gift of Captain John R. Brasel, USNR, 1967",ca08f3852e9f
Bathers,Alfred Levitt,American,1894,2000,1939,1939,Gouache and watercolor on paper,"H. 2, W. 3 inches (5.1 x 7.6 cm.)",Drawings,"Gift of the artist, 1985",27345127401f
"Jefferson Market, New York",Stuart Davis,American,1892,1964,1930,1930,Oil on canvas,"H. 33-1/8, W. 22-1/8 inches (84.1 x 56.2 cm.)",Paintings,"Gift of Carl D. Lobell, 1996",47f1999f66af
Psyche,William Sergeant Kendall,American,1869,1938,1909,1909,Oil on canvas,37 1/4 x 29 in. (94.6 x 73.6 cm),Paintings,"George A. Hearn Fund, 1910",330182ac88b7
The Writing Master,Thomas Eakins,American,1844,1916,1882,1882,Oil on canvas,30 x 34 1/4 in. (76.2 x 87 cm),Paintings,"John Stewart Kennedy Fund, 1917",f5dc93070294
Portrait of a Gentleman,Nathaniel Rogers,American,1788,1844,1835,1835,Watercolor on ivory in gilded copper case; hair reserve verso,2 11/16 x 2 1/8 in. (6.8 x 5.5 cm),Paintings,"Fletcher Fund, 2006",2eb8dc4dcdbd
"Design for window, Mr. J.C. Williams, All Saints Chapel, Atlanta, GA,",Louis Comfort Tiffany,American,1848,1933,1903,1915,"Watercolor, ink, graphite, and white gouache",21 1/4 x 14 3/4 in. (54 x 37.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",fd06d2e8ae68
The Antiquarian,John Koch,American,1909,1978,1954,1954,Oil on Masonite,"H. 16-9/16, W. 12-1/16 inches (42.1 x 30.7 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1954",484dcff8c838
The Seven Deadly Sins: Envy,Paul Cadmus,American,1904,1999,1947,1947,Egg tempera on Masonite,"H. 24, W. 11-3/4 inches (61 x 29.8 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993",6b1659bda8c5
"The Recording of Precedents: Confucius and His Pupils Collate and Transcribe Documents in Their Favorite Grove; Color Study for Mural, Supreme Court Room, Minnesota State Capitol, Saint Paul",John La Farge,American,1835,1910,1903,1903,"Gouache, watercolor, gum arabic, and graphite on tan wove paper",7 x 10 5/8 in. (17.8 x 27 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",e9e6ffbfc758
Battle,Mark Tobey,American,1890,1976,1942,1942,Tempera on Masonite,"H. 10-1/2, W. 8-5/8 inches (26.8 x 21.9 cm.)",Paintings,"Anonymous Gift, in memory of Robert Glenn Price, 1954",9b3d7ac5fcef
Gilding the Acrobats,Paul Cadmus,American,1904,1999,1935,1935,Tempera and oil on Masonite,"H. 36-3/4, W. 18-1/2 inches (93.3 x 47 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",87d8e31441a8
Figures in the Forest,Jerome Blum,American,1884,1956,1908,1908,Oil on canvas,"H. 18-1/8, W. 14-7/8 inches (46.0 x 37.8 cm.)",Paintings,"Gift of Mrs. Frances Blum, 1966",10c6d2b2cbae
Denise at Her Dressing Table,Mary Cassatt,American,1844,1926,1908,199,Oil on canvas,32 7/8 x 27 1/8 in. (83.5 x 68.9 cm),Paintings,"Bequest of Gioconda King, 2004",2ca9e6bfcdaa
Docks on Sunday,Joseph De Martini,American,1896,1984,1941,1941,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of New York City W. P. A., 1943",70c584a761ab
Design for marble and glass mosaic font,Louis Comfort Tiffany,American,1848,1933,1902,1915,"Watercolor, gouache, and graphite on off-white wove paper iginal matt",15 3/8 x 11 3/4 in. (39 x 29.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",08a2e1ca02f2
London Music Hall,Everett Shinn,American,1876,1953,1918,1918,Oil on canvas,10 x 12 in. (25.4 x 30.5 cm),Paintings,"George A. Hearn Fund, 1921",83836a107944
Colonel Richard Thomas,James Peale,American,1749,1831,1796,1796,Watercolor on ivory in gold locket,Sight: 2 7/8 x 2 5/16 in. (7.3 x 5.9 cm),Paintings,"Maria DeWitt Jesup Fund, 1931",6ba6ab48a7ee
George Heathcote,Gilbert Stuart,American,1755,1828,1785,1785,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Heathcote Art Foundation, 1986",954de38b2549
Pungent Distances,Morris Louis,American,1912,1962,1961,1961,Magna on canvas,91 1/4 x 59 1/4 in. (231.8 x 150.5 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",99b417b982ec
The Street,Philip Guston,American,1913,1980,1977,1977,Oil on canvas,69 x 110 3/4 in. (175.3 x 281.3 cm),Paintings,1983,361846de6505
Mountain Scene,Albert Bierstadt,American,1830,1902,1880,1890,Oil on paper,14 3/4 x 21 in. (37.5 x 53.3 cm),Paintings,"Gift of Mrs. J. Augustus Barnard, 1979",629846d7a558
Two Arab Women,John Singer Sargent,American,1856,1925,1905,1905,Oil on canvas,21 x 25 1/4 in. (53.3 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",d843b8962fb9
Sun Shower,Charles Melville Dewey,American,1849,1937,1912,1912,Oil on canvas,36 3/4 x 52 3/8 in. (93.3 x 133 cm),Paintings,"Arthur Hoppock Hearn Fund, 1920",c31e449524a1
Design for trapezoidal panel,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache and graphite on paper mounted on board",Overall: 16 15/16 x 13 9/16 in. (43 x 34.4 cm) Other (Design): 14 7/16 x 12 5/16 in. (36.7 x 31.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",af4e8d5677f3
Pictograph,Adolph Gottlieb,American,1903,1974,1948,1948,"Gouache, oil pastel, ink, and graphite on paper","H. 18, W. 24 inches (45.7 x 61 cm.)",Drawings,1994,2d588e35b967
Mrs. William F. Milton,Abbott H. Thayer,American,1849,1921,1881,1881,Oil on canvas,32 x 24 in. (81.3 x 61 cm),Paintings,"Gift of Mrs. William F. Milton, 1923",2874d96dd5b2
Landscape with Figures,Kenneth Hayes Miller,American,1876,1952,1914,1914,Oil on canvas,"H. 20, W. 17 inches (50.8 x 43.2 cm.)",Paintings,"Gift of students and admirers of the artist, 1927",fd11d942d7a3
Untitled (Head),Nicolas Carone,American,1917,2010,1951,1951,"Enamel on paper, mounted on linen",21 1/4 x 18 1/4 in. (54 x 46.4 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",162648bbd6d9
John Brown,John Steuart Curry,American,1897,1946,1939,1939,Oil on canvas,"H. 69, W. 45 inches (175.3 x 114.3 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",8430bd43706a
Adult Funeral Procession,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 x 9 1/4 in. (15.2 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",fec1ce5c43d2
Mary Ann Garrits,Frederick R. Spencer,American,1806,1875,1834,1834,Oil on canvas,33 x 26 in. (83.8 x 66 cm),Paintings,"Gift of Mrs. Emma W. Englander, 1928",b3db52cc38f1
Cartoon,Sylvia Carewe,American,1914,1981,1960,1960,Oil on canvas,"H. 63, W. 87 inches (160 x 221 cm.)",Paintings,"Gift of the designer, 1981",9db09469b310
Across the Campagna,George Inness,American,1825,1894,1872,1872,"Watercolor, gouache, and graphite on off-white wove paper",6 13/16 x 10 5/16 in. (17.3 x 26.2 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",e9e5bc792e20
Portiere,Louis Comfort Tiffany,American,1848,1933,1890,1902,"Watercolor, gouache, and graphite on off-white wove paper mounted to a paper-faced board",Overall: 21 1/4 x 13 3/8 in. (54 x 34 cm) Design: 11 7/16 x 5 3/8 in. (29 x 13.7 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittesley Fund,1953",46cf81143835
"Coast Scene, Isles of Shoals",Childe Hassam,American,1859,1935,1901,1901,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),Paintings,"Gift of George A. Hearn, 1909",77af0ede8d8b
Houses on a Barge,Helen Torr,American,1886,1967,1929,1929,Oil on canvas,"H. 16, W. 21 inches (40.6 x 33.3 cm.)",Paintings,"Gift of Cynthia Hazen Polsky, 1988",ffb112ac4367
"Kenneth Callahan painting on cardboard, 1947",Kenneth Callahan,American,1905,1986,20thcentury,20thcentury,Painting,13 1/2 x 12 1/2 in. (34.3 x 31.8 cm),Paintings,"Bequest of Phyllis Massar, 2011",e946f8a4521b
"Roses with a Glass Goblet and a Cast of Giovanni Bologna's ""Venus after the Bath""",Julian Alden Weir,American,1852,1919,1884,1884,"Pencil, watercolor, and gouache on paper",17 7/16 x 12 1/8 in. (44.3 x 30.8 cm),Drawings,1978,f7fab62936db
"Sand Bank with Willows, Magnolia",William Morris Hunt,American,1824,1879,1877,1877,Oil on canvas,24 x 42 in. (61 x 106.7 cm),Paintings,"Gift of Francis M. Weld, 1938",eea892d34adb
From Jerusalem,John Singer Sargent,American,1856,1925,1905,196,"Watercolor, gouache, and graphite on off-white wove paper",12 x 17 7/8 in. (30.5 x 45.4 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",8010aa8c0a47
"Western Civilization, Drawing #3",Viola Frey,American,1933,2004,1987,1987,Charcoal and oil pastel on paper,"Overall: H. 45, W. 60 inches (114.3 x 152.4 cm.) 2 sheets, each:H. 44, W. 30 inches (111.8 x 76.2 cm.)",Drawings,"Gift of Hoffman Greenwald Family: Nancy Hoffman, Rebecca Hoffman Greenwald and Peter N. Greenwald, 1993",b3aaed282380
"Panorama of Roman Campagna, Nov. 12, 1868 (from Sketchbook)",Jervis McEntee,American,1828,1891,1868,1868,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",dfcb9d41d42a
Dr. Scholl's Corns,Andy Warhol,American,1928,1987,1961,1961,Casein and wax crayon on canvas,48 x 40 in. (121.9 x 101.6 cm),Paintings,"Gift of Halston, 1982",0c5abcfae472
Joseph Donaldson,Charles Willson Peale,American,1741,1827,1776,1776,Watercolor on ivory in gold locket,1 3/8 x 1 1/8 in. (3.4 x 2.8 cm),Paintings,"Gift of Gloria Manney, 2006",7b5fd9e6f710
The Harp Player (A Solo),Kenyon Cox,American,1856,1919,1888,1888,Oil on canvas,30 x 17 7/8 in. (76.2 x 45.4 cm),Paintings,"Rogers Fund, 1912",5c89bca020e1
Open Number 35 (Raw Umber),Robert Motherwell,American,1915,1991,1968,1968,Polymer paint and charcoal on canvas,"H. 76, W. 144 inches (193 x 365.8 cm.)",Paintings,"Anonymous Gift, 1969",eedf54dc7a78
Dress Parade (from Sketchbook),James McNeill Whistler,American,1834,1903,1852,1852,"Brown ink, gouache and graphite on greenish-brown wove paper",5 x 3 1/4 in. (12.7 x 8.3 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",1f5a93848cde
Artist at Rest,Sally M. Avery,American,1905,2003,1963,1963,Oil on canvas board,"H. 22, W. 28 inches (55.9 x 71.1 cm.)",Paintings,"Gift of the artist, 1990",22ecf84074fe
Flag of Hudson Avenue No.2,Alan Shields,American,1944,2005,1976,1976,Acrylic and thread on canvas,"H. 88, W. 90 inches (223.5 x 228.6 cm.)",Paintings,"Gift of Joel and Anne Ehrenkranz, 1984",08f9fe792be3
"Chelsea Embankment, London",Hanns Skolle,American,1903,1988,1932,1932,Oil on canvas,37.8 x 48.3 cm (14 7/8 x 19 in. ),Paintings,"Walker Evans Archive, 1994",baa20af0de97
Allan Melville,John Rubens Smith,American,1775,1849,1810,1810,"Watercolor, gouache, and graphite on smooth surfaced off-white wove paper",8 7/8 x 6 3/4 in. (22.5 x 17.1 cm),Drawings,"Bequest of Charlotte E. Hoadley, 1946",bda5012f7bc1
August,Charles Harold Davis,American,1856,1933,1908,1908,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),Paintings,"Gift of George A. Hearn, 1909",b1fe29a7f91b
Lady with the Rose (Charlotte Louise Burckhardt),John Singer Sargent,American,1856,1925,1882,1882,Oil on canvas,84 x 44 3/4 in. (213.4 x 113.7 cm),Paintings,"Bequest of Valerie B. Hadden, 1932",6700d0e14045
Charles Wilkes,Gilbert Stuart,American,1755,1828,1794,1794,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Grace Wilkes, 1922",35718251f51e
Study in a Wood,Daniel Huntington,American,1816,1906,1861,1861,Oil on canvas,11 7/8 x 10 in. (30.2 x 25.4 cm),Paintings,"Bequest of Collis P. Huntington, 1900",f8daec9e29a1
Francis Lucas Waddell,John Vanderlyn,American,1775,1852,1837,1837,Oil on canvas,25 1/4 x 21 in. (64.1 x 53.3 cm),Paintings,"Gift of Mrs. M. Howard Hoopes and Miss Grace H. Patterson, in memory of Miss Ann S. Stephens, 1919",d135e20d3667
Lilacs in a Window (Vase de Lilas a la Fenetre),Mary Cassatt,American,1844,1926,1880,1883,Oil on canvas,24 3/16 x 20 1/8 in. (61.5 x 51.1 cm),Paintings,"Partial and Promised Gift of Mr. and Mrs. Douglas Dillon, 1997",d944a132db07
Mrs. Charles Cummings (Rebecca Pittard),Henry Inman,American,1801,1846,1825,1825,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Maria DeWitt Jesup Fund, 2008",711bb59793f0
Baked Pears in Duane Park,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",f4d5694c8d04
John Ludlow Morton,Nathaniel Rogers,American,1788,1844,1829,1829,Watercolor on ivory,2 15/16 x 2 3/16 in. (7.5 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006",941dfdd7376f
"Folly Beach, Charleston, South Carolina",Edward Hopper,American,1882,1967,1929,1929,"Watercolor, gouache and charcoal on paper","H. 13-7/8, W. 19-3/4 inches (35.2 x 50.2 cm.)",Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",e898698fc59b
String Quartette,Jack Levine,American,1915,2010,1937,1937,Tempera and oil on Masonite,"H. 47-1/2, W. 67-1/2 inches (120.7 x 171.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942",7e4658c77c58
James MacAlister (Sketch),Thomas Eakins,American,1844,1916,1895,1895,Oil on canvas,14 1/4 x 10 1/4 in. (36.8 x 26 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",5c71329fb96b
Marriage Stone,Theodoros Stamos,American,1922,1997,1948,1948,Oil on Masonite,"H. 13-1/8, W. 32 inches (33.3 x 81.3 cm.)",Paintings,"Gift of Arthur and Carol Goldberg, 1977",f164112508d7
Design for church interior,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, pen and brown ink, graphite",26 3/4 x 34 1/4 in. (68 x 87 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",faea0f3fa2ad
Innsbruck,John Singer Sargent,American,1856,1925,1871,1871,Watercolor and gouache on off-white wove paper,Irregular: 11 1/8 x 15 3/8 in. (28.3 x 39.1 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",635ffc8a3627
ltar,John Trumbull,American,1756,1843,1789,1789,Oil on canvas,71 x 107 in. (180.3 x 271.8 cm),Paintings,1976,03b7b78400fa
Wild Roses and Irises,John La Farge,American,1835,1910,1887,1887,Gouache and watercolor on white wove paper,14 1/2 x 10 7/16 in. (36.8 x 26.5 cm),Drawings,"Gift of Priscilla A. B. Henderson, in memory of her grandfather, Russell Sturgis, a founder of The Metropolitan Museum of Art, 1950",e7cd25e1511c
Indian Composition,George L.K. Morris,American,1905,1975,1938,1938,Oil and sand on canvas,"H. 69-3/4, W. 53-3/4 inches (177.2 x 136.5 cm.)",Paintings,"Gift of Jerry Leiber, 1985",15fa7a77325c
Sea and Gulls,John Marin,American,1870,1953,1942,1942,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"Alfred Stieglitz Collection, 1949",a58cd2284a5d
The Seven Deadly Sins: Sloth,Paul Cadmus,American,1904,1999,1947,1947,Egg tempera on Masonite,"H. 23-1/2, W. 11-1/2 inches (59.7 x 29.2 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993",cb488fdc17df
View on the Catskill鈥擡arly Autumn,Thomas Cole,American,1801,1848,1836,1837,Oil on canvas,39 x 63 in. (99.1 x 160cm),Paintings,1895,46874cbee98b
Ernesta,Cecilia Beaux,American,1855,1942,1914,1914,Oil on canvas,71 3/4 x 43 3/8 in. (182.2 x 110.2 cm),Paintings,"Arthur Hoppock Hearn Fund, 1915",54e67decfe97
Mount Chocorua and Lake,William Trost Richards,American,1833,1905,1873,1873,"Watercolor, gouache, and graphite on gray-green wove paper",8 3/16 x 14 1/4 in. (20.8 x 36.2 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",37f6049b5d4f
House Raising,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",949022647ad8
The Muse of Painting,John La Farge,American,1835,1910,1870,1870,Oil on canvas,49 1/2 x 38 1/4 in. (125.7 x 97.2 cm),Paintings,"Gift of J. Pierpont Morgan and Henry Walters, 1909",6acf23d23b43
Juke Joint,Benny Andrews,American,1930,2006,1998,1998,"Torn and cut paper and textile, and oil on paper",30 x 22 3/4 in. (76.2 x 57.8 cm),Drawings,2001,f472cf16f2e7
Two Girls on a Lawn,John Singer Sargent,American,1856,1925,1889,1889,Oil on canvas,21 1/8 x 25 1/4 in. (53.7 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",6396e81f4250
Mr. and Mrs. Chester Dale Dine Out,Guy P猫ne du Bois,American,1884,1958,1924,1924,Oil on canvas,"H. 30, W. 40 inches (76.2 x 100.6 cm.)",Paintings,"Gift of Chester Dale, 1963",d1e95ef0afd6
Josef de Jaudenes y Nebot,Gilbert Stuart,American,1755,1828,1794,1794,Oil on canvas,50 3/4 x 39 3/4 in. (128.9 x 101 cm),Paintings,"Rogers Fund, 1907",9c852857adc7
Stephen Van Rensselaer,Chester,American,1792,1866,1828,1828,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Mrs. Goodhue Livingston, Sr., 1954",a1eb72a0e5fb
End of the Hunt,Dale Nichols,American,1904,1995,1934,1934,Oil on canvas,30 1/4 x 40in. (76.8 x 101.6cm) 36 3/4 x 46 1/4 x 2 1/4 in. (93.3 x 117.5 x 5.7 cm) (Frame),Paintings,"Arthur Hoppock Hearn Fund, 1938",792447b49660
Mrs. Chase in Prospect Park,William Merritt Chase,American,1849,1916,1886,1886,Oil on panel,13 3/4 x 19 5/8 in. (34.9 x 49.9 cm),Paintings,"Gift of Chester Dale, 1963",1f5f71e28b78
Mrs. Sylvanus Bourne,John Singleton Copley,American,1738,1815,1766,1766,Oil on canvas,50 1/4 x 40 in. (127.6 x 101.6 cm),Paintings,"Morris K. Jesup Fund, 1924",8cdf15d1f3ea
Queen Victoria,Thomas Sully,American,1783,1872,1838,1838,Oil on canvas,36 x 28 3/8 in. (91.4 x 71.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",613d5e4105d1
General Richard Montgomery,Charles Willson Peale,American,1741,1827,1784,1786,Watercolor on ivory,1 3/4 x 1 5/16 in. (4.4 x 3.4 cm),Paintings,"Dale T. Johnson Fund, 2006",486c59483e0b
Design for Autumn Landscape window,Louis Comfort Tiffany,American,1848,1933,1923,1923,"Watercolor, ink, and gouache on paper",18 1/4 x 13 1/2 in. (46.4 x 34.3 cm),Drawings,"Gift of Robert W. de Forest, 1925, transferred from Archives, 1958",c9c839c0eab6
Children in Woods,Frank W. Benson,American,1862,1951,1905,1905,Oil on canvas,32 x 30 in. (81.3 x 76.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",115d5a6bb9b6
Helen Boyer,Edwin Dickinson,American,1891,1978,1947,1947,Oil on canvas,"H. 15-1/8, W. 14-1/8 in. (38.4 x 35.9 cm)",Paintings,"Gift of Betty Stebman, 1999",a710135c4704
The Pride of the Village,Henry Peters Gray,American,1819,1877,1858,1859,Oil on canvas,30 1/4 x 25 1/4 in. (76.8 x 64.1 cm),Paintings,"Gift of William Church Osborn, 1949",de3e71971982
Holy Mountain IV,Horace Pippin,American,1888,1946,1946,1946,Oil on canvas,"H. 26, W. 36 inches (66 x 91.4 cm.)",Paintings,"Bequest of Jane Kendall Gingrich, 1982",b31b0d0ee8c9
Grand Central Station,Colin Campbell Cooper,American,1856,1937,1909,1909,Oil on canvas,33 x 44 3/4 in. (83.8 x 113.7 cm),Paintings,"Gift of the family of Colin Campbell Cooper, in memory of the artist and his wife, 1941",fc0644397e0e
"""La Vie en Rose""",Joan Mitchell,American,1926,1992,1979,1979,Oil on canvas,"Overall (4 panels): H. 110-3/8, W. 268-1/4 inches (280.4 x 681.4 cm.) see Notes for each panel dimension",Paintings,1991,9d7a4dbd0aa1
Kalamazoo in Winter,Philip Evergood,American,1901,1973,1941,1942,"Oil-casein emulsions on linen, mounted on plywood","H. 30, W. 35 inches (76.2 x 88.9 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942",487ab854bef8
Egbert Benson,John Vanderlyn,American,1775,1852,1794,1794,Oil on canvas,29 3/4 x 23 7/8 in. (75.6 x 60.6 cm),Paintings,"Bequest of Alphonso T. Clearwater, 1933",d7d73068e161
The Sewer,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",2cc8cb4e53fe
"Study for ""Flanders""",Franz Kline,American,1910,1962,1961,1961,Ink and oil on paper,"H. 9, W. 7-1/8 inches (22.9 x 18.1 cm.)",Drawings,"Gift of Ren茅e and David McKee, 1984",90355e951eb9
"The Alhambra, Granada, Spain",John Ferguson Weir,American,1841,1926,1901,1901,Oil on canvas,36 1/4 x 46 1/2 in. (92.1 x 118.1 cm),Paintings,"Gift of David T. Owsley, 1964",f4ca70d76972
Mrs. Manigault Heyward (Susan Hayne Simmons),Robert Fulton,American,1765,1815,1813,1813,Watercolor on ivory,3 21/32 x 2 13/16 in. (9.3 x 7.1 cm),Paintings,"Rogers Fund, 1914",6e41157b669c
Design for a mosaic ceiling,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, graphite, gold paint and possibly gouache on board in mat",Overall: 14 3/4 x 18 in. (37.5 x 45.7 cm) Design: 20 1/2 x 27 in. (52.1 x 68.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",d20bc98b7ef9
Mediterranean,Avel de Knight,American,1924,1995,1966,1966,Gouache on cardboard,"H. 35-3/4, W. 30-1/4 inches (90.8 x 76.8 cm.)",Drawings,"Gift of The American Watercolor Society, 1967",4f83410c48c7
Senator Elihu Root,John Christen Johansen,American,1876,1964,1926,1926,Oil on canvas,56 x 38 1/4 in. (142.2 x 97.2 cm),Paintings,"Gift of the Trustees of the Museum, 1926",e2a44e92748a
Cyrus Mansfield,Samuel F. B. Morse,American,1791,1872,1808,1808,Watercolor on ivory in leatherette case with silk lining,2 5/8 x 1 5/16 in. (6.8 x 4.9 cm),Paintings,"Gift of Gloria Manney, 2006",3e53dc5ce136
The Cathedrals of Broadway,Florine Stettheimer,American,1871,1944,1929,1929,Oil on canvas,"H. 60-1/8, W. 50-1/8 inches (152.7 x 127.3 cm.)",Paintings,"Gift of Ettie Stettheimer, 1953",1562b275f02e
