dimensions,title,photo,technique,credittext,artyear,link,artdesc,nationality,artist,artist_birth,artist_death,production_id
28 5/8 x 15 1/2 x 13 1/2 inches,Leda,http://www.mfah.org/site_media/cache/11/7e/117e3d87bbc3ec534d9fabf9e39cdfc0.jpg,Painted steel,Gift of Mr. and Mrs. W. D. Hawkins,1938,http://www.mfah.org/art/detail/leda/,"The title Leda refers to the Greco-Roman myth about a god who takes the form of a swan and then seduces a woman. Here, David Smith offers a witty interpretation of the unlikely act of lovemaking between a bird and a woman. Leda Though Smith was not the first sculptor to use steel, no other artist has devoted his career to the medium with such brilliance and mastery. He learned the technique of welding steel from working in a car factory, and he applied this skill to the art of sculpture, forging his first steel work in 1933. Steel offered unique qualities for Smith, as he explained: What it can do in arriving at form economically, no other material can do. The metal itself possesses little art history. What associations it possesses are of this century: power, structure, movement, progress, suspension, destruction, brutality. is one of Smith's more poetic early steel constructions. The image of the swan is suggested by the graceful arcing neck and wing of the piece, while the theme of rape is conveyed by the diagonal thrust of one element piercing another. Myths and historical associations remained of central importance to Smith throughout his career, and many of his later works incorporate a balance between subject matter and radical abstraction.",American,David Smith,1906,1965,3a171e71ee56
66 x 20 x 33 inches,The Last of the Tribes,http://www.mfah.org/site_media/cache/85/89/85899053548478337b4cf671500a554a.jpg,Marble,Museum purchase with funds providedby; the Agnes Cullen Arnold Endowment Fund,1867-1874,http://www.mfah.org/art/detail/last-tribes/,"According to Hiram Powers, the most celebrated American sculptor of the 19th century, this partially nude marble figure represents a Native American woman who is ""run[ning] in alarm, looking back in terror . . . fleeing before civilization."" The sculpture illustrates the view, popular at the time, of Native Americans as ""noble savages,"" doomed to extinction because their traditional ways were being threatened by the westward expansion of the United States. The Last of the Tribes In , graceful, undulating lines capture all the nuances of the figure's form and demeanor. The subject is dressed in an exquisitely detailed skirt, with diamond patterning throughout and tassels that give the sense of movement as she runs. Part contemplative mood, as suggested in the graceful and noble turn of her head, and part high drama (she flees from cultures in conquest), this sculpture projects a poignant and romantic image of a so-called vanishing culture shortly before the Indian Wars ended native self-autonomy. Of note is that Powers accomplished this effect from his vantage point of Florence, Italy, using an Italian woman as a model and creating a fantastical costume that never existed in any Native American culture (except for the Ohio moccasins she wears that apparently formed a part of Powers's studio collection). This potent combination of fantasy, romance, and morality often permeates art of the Victorian era.",American,Hiram Powers,1805,1873,51e5e5d14c2a
14 13/16 x 24 inches,Magnolias on Gold Velvet Cloth,http://www.mfah.org/site_media/cache/46/14/46149437d0cd6dd2b83b76940c7bae8f.jpg,Oil on canvas,"Museum purchase with funds provided by the; Alice Pratt Brown Museum Fund, and gifts of; Isabel B. Wilson and The Brown Foundation, Inc.",1888-1890,http://www.mfah.org/art/detail/magnolias-gold-velvet-cloth/,"In this acutely observed still life, Martin Johnson Heade depicts five magnolias in various stages of blossom. The golden glow of the background and of the plush velvet sets off the various qualities of the flower: the delicate, smooth petals in creamy white; the rough stems; and the waxy finish of the leaves, one of which has been affected by a fungus. Born in Pennsylvania to a prosperous farming family, Heade spent his early years hunting, fishing, and learning to love nature-a passion that led him to paint in landscape and still life more than other genres. Even in an age of peripatetic artists, he was more widely traveled than most, living variously in Europe and America, and traveling to South America on three occasions. uHeade moved in 1883 to Florida, where flourishing tropical flowers like magnolias both encouraged his interest in natural history and appealed to him artistically. He repeatedly painted magnolias, creating compositions that are infinitely varied and show evidence of various alterations that he made while painting. The subtle shifts within his work as a whole account in part for Heade's appeal to modern sensibilities. Although Heade's work received only limited artistic acclaim during his lifetime, his paintings were ""rediscovered"" in the 1940s, and he has since evolved into an undisputed modern American master.",American,Martin Johnson Heade,1819,1904,246d27f1e195
36 x 30 3/16 inches,Arm Organization,http://www.mfah.org/site_media/cache/ff/88/ff880a8c18c746565559585f649d2321.jpg,Oil on canvas,Museum purchase,1914,http://www.mfah.org/art/detail/arm-organization/,"With his friend Morgan Russell, Stanton Macdonald-Wright developed a style of color abstraction called Synchromy, meaning ""with color."" Informed by color theory, Synchromists explored the relationship of color and shapes. The central motif here may suggest a torso or flexed arm; notice the graceful modulations of form and color surrounding the contorted ""knot"" at the center. Arm Organization At the age of 19, Macdonald-Wright left his home in Southern California for Paris. He remained overseas for six years, enrolling in a succession of art schools and committing himself to studying and assimilating the most advanced art of his time. In 1911 he met Russell, a fellow American, and they pioneered Synchromism as the only avant-garde movement in Europe established by Americans in the years before World War I. The war forced Macdonald-Wright to return to the United States, where he ultimately settled in Southern California and became a tireless advocate of Modernism. Dying Captive Macdonald-Wright was convinced that color and sound were equivalent phenomena and that one could orchestrate the colors of a painting the way a composer arranges notes and chords in music. Here, he uses such ""chords"" of complementary colors as a means of organizing the seemingly abstract composition. Yet, is not entirely abstract, and the potential forms of the curving torso, shoulder, and flexed arm likely derive from Michelangelo's sculpture , which the artist studied at the Mus\xe9e du Louvre in Paris.",American,Stanton Macdonald-wright,1890,1973,411f276236ce
40 x 30 inches,Portrait of John B. Gest,http://www.mfah.org/site_media/cache/1c/d3/1cd3f5602d684e5596aecaf03449f183.jpg,Oil on canvas,Museum purchase with funds provided by; the Agnes Cullen Arnold Endowment Fund,1905,http://www.mfah.org/art/detail/portrait-john-b-gest/,"Thomas Eakins's late portraits, which include this powerful likeness, are among the artist's most poignant works. Here, Eakins focuses upon the two elements of portraiture traditionally deemed most important: heads and hands. The piercing gaze and the taut, sinewy hands of the aging subject carry the emotional weight of the painting and testify to Eakins's life-long commitment to portraying the human condition in all its heroism and frailty. uCommissioned from Eakins by the Fidelity Trust Company for $700, this portrait of Fidelity's president, John B. Gest, has little to do with what one might think of as corporate portraiture: bland, formulaic images of seated, appropriately attired men intended to portray serious-minded, upstanding members of the community. Indeed, Gest performed the role to a T, serving as a trustee of the University of Pennsylvania, the Historical Society of Pennsylvania, and the Presbyterian Hospital in Philadelphia, in addition to fulfilling his duties at the financial company he served. However, by turning Gest's gaze away from the viewer, Eakins turns any possible engagement with the sitter into a study and an observation of the visible effects of old age. This portrait reveals the artist's intense devotion to realism through its truthful accuracy and penetrating portrayal of the subject's character,",American,Thomas C. Eakins,1844,1916,e9e61225b21a
35 x 40 inches,"Sunlight and Shadow, Shinnecock Hills",http://www.mfah.org/site_media/cache/d0/6c/d06c4d2e547f232a28b2746463c3812f.jpg,Oil on canvas,Gift of Mrs. James W. Glanville,1895,http://www.mfah.org/art/detail/sunlight-and-shadow-shinnecock-hills/,"This luminous landscape was inspired by the rather flat and ordinary countryside of Shinnecock, Long Island, where William Merritt Chase taught outdoor painting. Chase's deceptively simple composition testifies to his ability to make the ordinary seem extraordinary. Originally from the Midwest, Chase studied at the National Academy of Design in New York, and then in Europe at the Munich Academy, where artists were encouraged to depict ordinary subject matter, and to handle paint broadly using a limited, dark palette enlivened with small bits of bright color. After further study and travel abroad, Chase returned to New York, where he became a highly visible art figure known for his generosity, eclecticism, and charisma, and for his Impressionist scenes of public parks and his bold portraits. Chase's most consistent and brilliant body of work is the series of Impressionist landscapes he painted from 1891 to 1902, during summers at Shinnecock. This imposing example provides a fresh, seemingly spontaneous interpretation of the movement of clouds and sunlight and their effects on the coastal landscape below. Sandwiched in between the scraggly clumps of dune grass, heather, and sky are pink dunes highlighted by a streak of red, and a sliver of sea dotted with white boats.",American,William Merritt Chase,1849,1916,4982e379ecd4
17 5/8 x 23 5/8 inches,Penn's Treaty with the Indians,http://www.mfah.org/site_media/cache/0a/e0/0ae0a326c11f18e3c361890be33b7939.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Alice C. Simkins in memory of Alice Nicholson Hanszen,1830-1840,http://www.mfah.org/art/detail/penns-treaty-indians/,"According to legend, in 1862 Quaker reformer William Penn met with Native Americans at Shackamaxon in Delaware to exchange gifts for land. Although history shows that Penn did meet with the Lenape Indians, no actual treaty exists. For the Quakers, however, the meeting fulfilled the biblical prophecy of a peaceable kingdom on earth. The theme inspired more than a hundred paintings by Quaker preacher Edward Hicks, who also worked as a sign and coach painter. Using a seemingly unsophisticated style, Hicks concentrated on images that conveyed his Quaker beliefs.",American,Edward Hicks,1780,1849,c3e48f8c9b56
23 1/4 x 13 5/8 x 3/4 inches,Sketch in Iron,http://www.mfah.org/site_media/cache/97/37/97372b66549f98a9bb0c39fc7ecc0e8d.jpg,Iron,Gift of American Decorative Art 1900 Foundation in honor of Dominique and John de Menil,1930s,http://www.mfah.org/art/detail/sketch-iron/,"Trained in Europe as a traditional blacksmith, metalworker Samuel Yellin was credited in 1912 with reviving the craft of wrought iron in America. As a craftsman, Yellin believed in working out his designs in three-dimensional ""sketches"" in iron. These small studies show the blacksmith's process and creativity as ""expressed with the hammer."" uYellin's ironwork was commissioned for the private homes of the Vanderbilts and the DuPonts as well as for public spaces at Harvard University and the National Cathedral in Washington, D.C. This example demonstrates Yellin's extraordinary ability to manipulate metal. The naturalistic tendrils have been hand-pulled, giving the impression that the material is far more pliable than it is in reality.","American, born Poland",Samuel Yellin,1885,1940,a40bf68b93b2
15  x 7  inches,Chalice,http://www.mfah.org/site_media/cache/d7/d2/d7d2a1443463dcda559ce3153f771e7c.jpg,Gold-lustered earthenware,Gift of Garth Clark and Mark Del Vecchio,1984,http://www.mfah.org/art/detail/chalice/,"At age 88, when most artists would be well into retirement, Beatrice Wood embarked on a new body of work aesthetically different from her earlier ceramics. Critically lauded as innovative and expressive, the new work almost eclipsed her past objects. The signature pots from this period are a series of complex, often large-scale chalices. Assembled from thrown and hand-built forms, the chalices are totemic, sculptural compositions that demonstrate true harmony between form and glaze. Wood's interest in ceramics was initially stirred by the purchase of six Dutch lusterware plates in 1933. Eager for a matching teapot, she enrolled in a ceramics class. After establishing her own studio, Wood created forms that were the result of free exploration, with experimental glazes. For the next 40 years, she made thrown and hand-built vessels and figures in a range of colors and textures. At once vivid and subtle, her glazes had depth and tonal richness and seemed to be molded with light. This spectrum was achieved through her all-over, in-glaze luster that, when fired, caused metallic salts to rise to the surface, a complex process almost impossible to control. Wood's metallic sheens were unlike any glaze being used by modern potters.",American,Beatrice Wood,1893,1998,430ec29387a7
14 1/4 x 11 3/4 x 10 1/8 inches,Vessel,http://www.mfah.org/site_media/cache/3c/3a/3c3a9494f3bad5826e7740bae04da9e5.jpg,Porcelain,Gift of Garth Clark and Mark Del Vecchio,1981,http://www.mfah.org/art/detail/devore-vessel/,"uRichard DeVore works in porcelain and stoneware and is known for his organically shaped abstract forms that are at once powerful and fragile. In both form and glaze, his works boldly demonstrate a command of material that has been honed by years of experimentation. Since early in his career, DeVore's palette has consisted of flesh tones, ranging from blush to bone. The surfaces of his vessels often feature a delicate craquelure pattern that is created by painstakingly layering coats of glaze. Because of the varied techniques he uses to administer the glazes, DeVore's pieces unfold in layers as they are continually explored, This vessel's undulating rim and graceful curves are reminiscent of Constantin Brancusi's work as well as the marble sculpture of ancient Italy and Greece. During this early period, DeVore focused on the torso form. The anthropomorphic lines of this vessel clearly delineate the human anatomy and allow for a greater sense of intimacy between the viewer and the vessel.",American,Richard Devore,1933,2006,c52850469492
7 5/8 x 9 1/2 inches,Arizona Landscape,http://www.mfah.org/site_media/cache/e1/9a/e19af9a6661fd11eae9d18b2bd9bc6bc.jpg,Gelatin silver print,"The Target Collection of American Photography, gift of Target Stores",1945,http://www.mfah.org/art/detail/arizona-landscape/,"uTo view specific works by Sommer in the collection, contact the museum's , for an appointment.","American, born Italy",Frederick Sommer,1905,1999,1348e87e2bb6
10 11/16 x 15 5/8 inches,Conical Intersect,http://www.mfah.org/site_media/cache/c0/b7/c0b7366ebf479f9a0cb1280eb559ecd8.jpg,Gelatin silver print,The Allan Chasanoff Photographic Colleciton,1975,http://www.mfah.org/art/detail/conical-intersect/,"uTo view specific works by Matta-Clark in the collection, contact the museum's , for an appointment.",American,Gordon Matta-clark,1945,1978,e55c59d6135f
